year,team,PRFa,PHRFa,PNHRFa
2005,Milwaukee,1.006750717,1.045214119,0.993575461
2005,Minnesota,0.998729137,0.958527142,1.009540354
2005,NY Mets,0.977357778,0.937697337,0.998761728
2005,NY Yankees,1.000718926,1.034828277,0.991652372
2005,Oakland,0.990248128,0.958351657,1.003228481
2005,Philadelphia,1.049459987,1.130772588,1.004048196
2005,Pittsburgh,0.99609892,0.929628086,1.014839462
2005,San Diego,0.905764675,0.884899746,0.957274478
2005,San Francisco,0.989589071,0.925593167,1.011004842
2005,Seattle,0.971667248,0.95973989,0.988803455
2005,St. Louis,0.997415524,1.003258737,0.997218265
2005,Tampa Bay,0.984952226,0.9689608,0.996535909
2005,Texas,1.047138297,1.084711709,1.013919294
2005,Toronto,1.025096301,1.105951975,0.991958387
2005,Washington,0.943012212,0.889525457,0.984992417
2006,Anaheim,0.976184327,0.937801886,0.99808039
2006,Arizona,1.058159639,1.109334176,1.015637988
2006,Atlanta,0.988345379,0.978306621,0.996780365
2006,Baltimore,1.001913664,1.076053496,0.981488599
2006,Boston,1.030548557,0.90623984,1.046545733
2006,Chicago Cubs,1.042623441,1.095759726,1.007453785
2006,Chicago Sox,1.037611449,1.156989196,0.987658276
2006,Cincinnati,1.042689701,1.118285479,1.001667613
2006,Cleveland,0.981409662,0.934583848,1.002888345
2006,Colorado,1.095039547,1.092185063,1.047151116
2006,Detroit,0.995780753,0.956227366,1.008151988
2006,Houston,0.999667464,1.066938648,0.982165552
2006,Kansas City,1.024352809,0.940850558,1.033353884
2006,Los Angeles,0.993833375,1.04377557,0.98378644
2006,Miami,0.963538099,0.94975508,0.985247637
2006,Milwaukee,1.001280315,1.00616725,0.999368
2006,Minnesota,0.978241865,0.930634102,1.001510999
2006,NY Mets,0.963714472,0.949859957,0.985356026
2006,NY Yankees,0.979246023,1.031455466,0.975739812
2006,Oakland,0.969550048,0.947934323,0.990354584
2006,Philadelphia,1.029262717,1.098694432,0.996553938
2006,Pittsburgh,0.987466996,0.91954023,1.011348879
2006,San Diego,0.916194224,0.925407693,0.954671731
2006,San Francisco,1.001121825,0.886067302,1.030055305
2006,Seattle,0.954494988,0.961017328,0.975243434
2006,St. Louis,0.970195079,0.930915577,0.995310095
2006,Tampa Bay,0.99216696,1.018319723,0.989218394
2006,Texas,1.043983165,1.050963672,1.019975212
2006,Toronto,1.021627062,1.098090397,0.990870202
2006,Washington,0.961475621,0.911626154,0.993692592
2007,Anaheim,1.01167513,0.964961068,1.016631265
2007,Arizona,1.060149537,1.055183139,1.030763796
2007,Atlanta,0.976934092,0.969980303,0.990044815
2007,Baltimore,1.021631974,1.090517241,0.99468135
2007,Boston,1.053101024,0.934411415,1.052925628
2007,Chicago Cubs,1.05859618,1.061588065,1.028200302
2007,Chicago Sox,1.038607491,1.128614183,0.998238878
2007,Cincinnati,1.043612717,1.141622979,0.998869412
2007,Cleveland,0.998282831,0.963947614,1.007150956
2007,Colorado,1.089702328,1.093959732,1.042933218
2007,Detroit,1.014654359,1.023119963,1.005331849
2007,Houston,0.970568349,1.043983886,0.967577915
2007,Kansas City,1.017583923,0.931644797,1.02849734
2007,Los Angeles,0.991255568,1.011196899,0.990919901
2007,Miami,1.009461367,0.981654493,1.011175586
2007,Milwaukee,0.992236111,1.031241191,0.98690436
2007,Minnesota,0.96426938,0.926583444,0.990912642
2007,NY Mets,0.963836674,0.960899262,0.982451778
2007,NY Yankees,1.01806719,1.052102111,1.001068191
2007,Oakland,0.950394589,0.925644917,0.980804974
